"Date & Time","use [kWh]","gen [kWh]","HVAC [kWh]","Garage [kWh]","Main House + Pumps [kWh]","Water Heater [kWh]","Heat Pump [kWh]","Heaters - upstairs [kWh]","Heater - downstairs [kWh]","Range [kWh]","HRV [kWh]","Dishwasher [kWh]","Main House [kWh]","Washer and Dryer [kWh]","KitL MasLP BathLP LoftLP GueLP [kWh]","KitP LivLP StairsUpLP [kWh]","Well Pump [kWh]","Booster Pump [kWh]","Garage Water Heater [kWh]","Solar Net [kWh]","Main Grid [kWh]","Solar Pos [kWh]","Septic Pump [kWh]"
2017-03-26 13:00:00,24783.554588611,12285.791386944,-5528.905608889,-5273.430786944,-19510.123801667,-2998.048746389,-4611.922472500,-131.563418056,-180.882472500,-957.140118333,-604.537245833,-350.027040278,-17163.009348333,-1243.145133611,-864.826804167,-290.936902500,-1496.284797778,-850.829655556,-1343.748830000,11936.597836667,-12846.956751944,12285.791386944,-28.016461667
2017-03-25 13:00:00,24740.364095000,12263.094373333,-5515.277699444,-5261.529168889,-19478.834926111,-2995.345530556,-4600.800653889,-131.049655833,-180.101098611,-956.579139444,-603.326291111,-349.288203611,-17133.766566667,-1238.400941944,-862.195165833,-288.675922500,-1494.966148611,-850.102210833,-1342.641408611,11914.095968333,-12826.268126667,12263.094373333,-28.013915556
2017-03-24 13:00:00,24697.191644167,12239.420729722,-5500.733698611,-5248.297450278,-19448.894193889,-2992.682839444,-4589.549613611,-129.939766667,-179.129263333,-956.015440833,-602.115055000,-349.265004167,-17105.821574444,-1235.015680000,-859.299463056,-286.823100833,-1493.695896667,-849.376722778,-1341.507239722,11890.607198333,-12806.584445833,12239.420729722,-28.015226389
2017-03-23 13:00:00,24663.936217222,12210.535300000,-5490.428768611,-5237.370385556,-19426.565831667,-2991.225020278,-4581.709972222,-129.359854444,-178.463074722,-955.576890556,-600.895867222,-349.244671111,-17085.480587778,-1234.950356111,-855.387155000,-284.870514167,-1492.339367778,-848.745876111,-1340.399510278,11861.945827222,-12801.990390000,12210.535300000,-28.016422778
2017-03-22 13:00:00,24618.519878056,12186.885836667,-5480.226048889,-5221.475396944,-19397.044481111,-2987.249633611,-4573.143236389,-129.136197500,-178.264717222,-954.826921944,-599.681897778,-348.467006944,-17058.416676389,-1233.332915278,-850.912033611,-281.738282222,-1490.689257778,-847.938546944,-1338.335887500,11838.485857500,-12780.034020556,12186.885836667,-28.014840833
2017-03-21 13:00:00,24574.989678889,12173.968240000,-5469.312967778,-5208.692624444,-19366.297054444,-2983.022306111,-4563.745476944,-129.010869722,-178.087034167,-954.071008056,-598.469586944,-348.450512778,-17030.215888889,-1231.350733611,-845.584613889,-278.748088056,-1489.038378889,-847.042786667,-1336.496628333,11825.752634444,-12749.237044444,12173.968240000,-28.020541667
2017-03-20 13:00:00,24532.673706389,12162.081029167,-5458.684237778,-5199.019414167,-19333.654292222,-2979.983217778,-4554.898730556,-128.840073056,-177.686296389,-951.496661389,-597.259137778,-347.790543056,-17003.241579167,-1231.285306667,-840.998926667,-275.514585556,-1485.137868889,-845.274844167,-1335.421501667,11814.055522500,-12718.618183889,12162.081029167,-27.942461667
2017-03-19 13:00:00,24489.713200000,12132.269251667,-5447.858200000,-5192.479267778,-19297.233932222,-2972.272013333,-4545.770862778,-128.728966111,-177.306189722,-949.454236667,-596.052181389,-347.029481389,-16969.598594444,-1228.975715000,-836.458407222,-272.170018889,-1483.340444722,-844.294893056,-1334.304037222,11784.422245278,-12705.290954722,12132.269251667,-27.813831389
2017-03-18 13:00:00,24433.641818889,12103.210018333,-5434.367041944,-5174.950511667,-19258.691307222,-2966.363772778,-4534.081232778,-128.492449167,-176.944443889,-947.508131667,-594.848916111,-346.214001944,-16933.692140833,-1225.182319444,-831.494641389,-268.916364167,-1481.544183333,-843.454983056,-1332.175449167,11755.551392222,-12678.090426667,12103.210018333,-27.815826389
2017-03-17 13:00:00,24382.548890278,12094.990259722,-5421.406583889,-5159.124829722,-19223.424060556,-2960.811570556,-4522.648005278,-128.385581944,-176.723519722,-943.551159167,-593.649476944,-345.503196111,-16900.857376944,-1224.806488056,-827.583523333,-265.611061111,-1479.961121389,-842.605562222,-1331.101194722,11747.545359722,-12635.003530556,12094.990259722,-27.817768611
2017-03-16 13:00:00,24336.110393611,12074.683180278,-5407.633514167,-5145.971162222,-19190.139231389,-2957.443352222,-4510.440123889,-128.223171389,-176.532798889,-942.847235833,-592.437420000,-344.744690278,-16870.113526389,-1221.262751111,-824.140270000,-262.471284444,-1478.231880278,-841.793824722,-1329.489376389,11727.425202500,-12608.685191111,12074.683180278,-27.812512222
2017-03-15 13:00:00,24286.199588056,12053.945188889,-5397.976714444,-5131.426987222,-19154.772600833,-2952.319329167,-4502.214962222,-128.088834167,-176.451267778,-940.808086389,-591.221650278,-344.384741111,-16837.343473611,-1215.131433611,-820.476303611,-259.069407778,-1476.557655833,-840.871471389,-1327.515768056,11706.891370833,-12579.308217222,12053.945188889,-27.601166111
2017-03-14 13:00:00,24245.627378889,12045.400398889,-5389.158124722,-5117.460774167,-19128.166604722,-2949.646128056,-4494.778028333,-127.983671667,-176.392149167,-939.868369167,-590.004275556,-343.910403333,-16813.163806944,-1214.232383611,-816.541469444,-254.683403333,-1474.956935000,-840.045862778,-1325.758220833,11698.568290278,-12547.059088611,12045.400398889,-27.595224722
2017-03-13 13:00:00,24205.588741111,12036.478151944,-5380.918584444,-5105.944991111,-19099.643750000,-2945.544769722,-4487.916092778,-127.878666667,-176.332649444,-938.862087778,-588.791175556,-343.251112500,-16787.016527500,-1211.869946389,-812.344932500,-251.084359167,-1473.376293333,-839.250929167,-1324.460865556,11689.848304167,-12515.740436944,12036.478151944,-27.594563611
2017-03-12 13:00:00,24150.936921667,12027.531339444,-5369.674387222,-5092.780524722,-19058.156396944,-2936.146875556,-4478.051146389,-127.773837500,-176.269482500,-937.351915000,-587.579920833,-341.675768333,-16748.478296667,-1207.276183056,-808.171229444,-247.343160556,-1471.508869167,-838.169231111,-1322.433791944,11681.116790556,-12469.820131111,12027.531339444,-27.592530556
2017-03-11 12:00:00,24111.606739722,12014.595568056,-5357.071803611,-5082.071813611,-19029.534926111,-2933.584283333,-4467.009530556,-127.637861111,-176.049325278,-937.024537778,-586.375086667,-341.659558889,-16721.923815278,-1207.207503611,-803.178073611,-243.297462222,-1470.150487778,-837.460623056,-1321.387865556,11668.387938056,-12443.218801667,12014.595568056,-27.545168611
2017-03-10 12:00:00,24070.750424444,11998.456333611,-5344.674173889,-5072.616772222,-18998.133652222,-2928.969389167,-4456.896448611,-127.319508056,-175.288307222,-935.220958333,-585.169910000,-340.915021944,-16692.698628611,-1207.138915556,-799.569613889,-239.170407222,-1468.703660278,-836.731363333,-1320.292068889,11652.451088611,-12418.299335833,11998.456333611,-27.415363611
2017-03-09 12:00:00,24021.280122222,11988.630108056,-5331.269257222,-5063.843474722,-18957.436647500,-2918.775766389,-4446.871957778,-126.533395000,-173.895937778,-933.949879722,-583.967966667,-340.116110833,-16654.967852500,-1207.070290278,-796.266312222,-232.768758889,-1466.807391944,-835.661403056,-1318.301344444,11642.848688889,-12378.431433333,11988.630108056,-27.401141111
2017-03-08 12:00:00,23955.047243333,11981.622565000,-5313.261662222,-5038.803618611,-18916.243624722,-2915.125384167,-4432.990041111,-125.472332500,-172.022527222,-932.944623889,-582.776761389,-340.101078611,-16616.148498611,-1202.710630833,-792.983764722,-226.308826111,-1465.252990000,-834.842136111,-1316.381913889,11636.054462778,-12318.992780556,11981.622565000,-27.394059167
2017-03-07 12:00:00,23909.775848056,11974.259911944,-5297.685085278,-5025.003261111,-18884.772586944,-2911.456863611,-4419.645260556,-124.799821389,-171.656121111,-932.430863333,-581.583882222,-339.394959444,-16586.929396944,-1202.643850833,-789.803189444,-222.615758056,-1463.767381944,-834.075808056,-1315.016543889,11628.876918889,-12280.898929167,11974.259911944,-27.388878333
2017-03-06 12:00:00,23848.267246111,11960.237822500,-5278.107964167,-5005.559286667,-18842.707959444,-2908.651190000,-4403.876618056,-122.879554444,-170.956754167,-931.613949167,-580.395037500,-338.527064167,-16551.701451389,-1202.573448056,-786.297245833,-216.865236111,-1459.125429167,-831.881078889,-1312.883386944,11615.057620000,-12233.209626111,11960.237822500,-27.212307500
2017-03-05 12:00:00,23784.198092778,11948.119513333,-5262.742738611,-4991.571791667,-18792.626301111,-2896.882485556,-4391.605840278,-121.720807778,-170.202768611,-929.690633333,-579.213321944,-337.738105278,-16504.891792778,-1194.544873611,-782.586501944,-213.594992500,-1457.044230000,-830.690278333,-1311.780466389,11603.140884444,-12181.057208333,11948.119513333,-27.214910556
2017-03-04 12:00:00,23721.363881389,11938.191122500,-5247.313442500,-4968.667768056,-18752.696113333,-2890.722412778,-4378.782559722,-121.358280278,-169.154322222,-926.785791944,-578.018280278,-336.885881944,-16467.610450556,-1192.877479722,-778.333493611,-209.645061667,-1455.315418056,-829.770244722,-1310.699473611,11593.424490556,-12127.939390833,11938.191122500,-27.217363611
2017-03-03 12:00:00,23670.841094722,11926.199656111,-5232.744351667,-4953.221565278,-18717.619529444,-2886.383702778,-4367.049608611,-120.696924722,-168.180567500,-923.149524444,-576.817250833,-336.180055556,-16434.830925278,-1192.811788056,-774.602590000,-206.191288333,-1453.766809167,-829.021795000,-1308.443188889,11581.633727500,-12089.207367222,11926.199656111,-27.104085556
2017-03-02 12:00:00,23626.565050556,11915.280333889,-5220.894311667,-4939.821745556,-18686.743305000,-2882.155852222,-4357.596886111,-120.051021389,-167.634965278,-922.739467222,-575.611438889,-335.385581111,-16406.335873333,-1190.209065833,-771.234530556,-202.824083333,-1452.211454444,-828.195977222,-1306.530809167,11570.918318056,-12055.646732500,11915.280333889,-27.037417778
2017-03-01 12:00:00,23577.406989444,11901.886007500,-5208.091516944,-4927.520671111,-18649.886318333,-2874.112991389,-4346.671416944,-119.849286111,-167.169183333,-921.718033333,-574.401630556,-335.369757500,-16372.486278889,-1186.922619167,-767.536750556,-199.832625278,-1450.282592222,-827.117447222,-1304.818576389,11557.715641389,-12019.691348056,11901.886007500,-27.038806944
2017-02-28 12:00:00,23520.874749167,11888.085767778,-5191.069183333,-4908.247971944,-18612.626777222,-2866.795931667,-4332.664979722,-119.434231111,-165.777790278,-921.216091111,-573.192182222,-335.352637222,-16337.989938611,-1186.258483611,-763.595389722,-196.721009722,-1448.522408333,-826.114430278,-1302.722729722,11544.115060000,-11976.759689167,11888.085767778,-27.042246667
2017-02-27 12:00:00,23469.627740556,11871.410478333,-5175.294084722,-4892.717625000,-18576.910115556,-2863.374761111,-4321.521203889,-117.835724722,-163.947320000,-918.350372778,-571.989836111,-334.665659444,-16304.547403056,-1184.533891944,-760.049311389,-193.300101111,-1447.035803056,-825.326909444,-1301.616486667,11527.633036111,-11941.994704444,11871.410478333,-27.030475833
2017-02-26 12:00:00,23407.163182500,11864.121397500,-5158.095544444,-4876.226185278,-18530.936997222,-2856.616996111,-4307.392033889,-117.178636389,-162.727897778,-915.261563611,-570.796976389,-334.102069722,-16261.349420000,-1178.017224444,-756.309789444,-189.893642222,-1445.222904444,-824.364672778,-1299.451023333,11520.539556389,-11886.623626111,11864.121397500,-26.845966111
2017-02-25 12:00:00,23352.090218611,11850.068775833,-5141.329428333,-4863.607547778,-18488.482670833,-2848.504563056,-4293.055273333,-117.013841111,-161.666304444,-914.059686944,-569.594009444,-333.288445556,-16221.630071111,-1174.522232500,-752.822361667,-185.878978333,-1443.478774722,-823.373825000,-1298.344939722,11506.691970556,-11845.398248056,11850.068775833,-26.844391389
2017-02-24 12:00:00,23303.754198333,11831.645286667,-5122.851878333,-4855.732681111,-18448.021517222,-2843.844955833,-4278.026336944,-116.829610278,-159.611799167,-913.622278333,-568.384131944,-332.498625556,-16183.605064722,-1171.355167778,-748.265281667,-181.798920278,-1441.846986389,-822.569466111,-1297.272128611,11488.467313611,-11815.286884722,11831.645286667,-26.844251944
2017-02-23 12:00:00,23250.327498889,11812.700595000,-5106.080563056,-4838.147691667,-18412.179807222,-2839.175203611,-4264.780515556,-116.632469722,-157.488101111,-912.186162778,-567.179476667,-331.335695000,-16150.491166944,-1171.285945000,-744.720164444,-178.163936389,-1439.955617222,-821.733023056,-1295.684126389,11469.728134167,-11780.599364722,11812.700595000,-26.838376667
2017-02-22 12:00:00,23199.836169722,11799.993854722,-5092.254016111,-4819.971659722,-18379.864510000,-2835.666930278,-4254.438975833,-116.267214722,-155.575147778,-909.975198333,-565.972677778,-330.451688056,-16120.900143333,-1171.216875833,-740.495822778,-174.983849722,-1438.171281111,-820.793085556,-1293.318609167,11457.235121944,-11742.601047778,11799.993854722,-26.631086944
2017-02-21 12:00:00,23145.487841111,11790.159535000,-5079.489638333,-4802.018226111,-18343.469615000,-2827.390599722,-4243.943552778,-116.089697778,-154.699085278,-909.643621667,-564.757302500,-329.581616667,-16088.742838333,-1171.145322778,-736.668560556,-170.808903056,-1435.435464722,-819.291311944,-1288.219860000,11447.612133333,-11697.875707778,11790.159535000,-26.625225556
2017-02-20 12:00:00,23086.311446111,11783.476120278,-5068.225522778,-4785.523058611,-18300.788387500,-2819.026903611,-4234.793652222,-115.956457500,-153.927602778,-908.572478056,-563.547810278,-328.133385556,-16050.397548333,-1168.409953056,-733.369418611,-162.731425833,-1432.576092222,-817.814746944,-1287.078815833,11441.142669167,-11645.168776944,11783.476120278,-26.611216667
2017-02-19 12:00:00,23027.978280833,11776.406331389,-5056.753645000,-4769.760300833,-18258.217980000,-2811.891363889,-4225.071547222,-115.839976111,-153.499488333,-904.006157222,-562.342633333,-327.358921389,-16009.174091667,-1164.058445000,-729.796419167,-155.689459167,-1431.582014722,-817.461873611,-1284.893819444,11434.305996111,-11593.672284722,11776.406331389,-26.547784444
2017-02-18 12:00:00,22973.472070833,11769.065193056,-5044.083776111,-4759.052919167,-18214.419151667,-2806.785629167,-4213.944963611,-115.729973889,-153.272646111,-900.249224167,-561.136192500,-326.636177222,-15966.739928056,-1157.102365000,-723.406833056,-150.994460278,-1430.609173889,-817.070049722,-1283.805244167,11427.196638889,-11546.275431944,11769.065193056,-26.423547778
2017-02-17 12:00:00,22936.419744722,11756.346184444,-5032.921403611,-4751.303532778,-18185.116211944,-2802.447260833,-4204.501263611,-115.620931111,-152.880962500,-897.270342222,-559.918246389,-325.944382778,-15938.188496667,-1157.030853056,-718.970091667,-148.076753889,-1430.033489722,-816.894225556,-1282.736488056,11414.699715000,-11521.720029722,11756.346184444,-26.423252500
2017-02-16 12:00:00,22906.221393333,11738.662122778,-5023.310730000,-4744.271131667,-18161.950261667,-2798.842264722,-4196.471069444,-115.513746944,-152.630269722,-896.792006667,-558.695643889,-325.201968611,-15915.201486944,-1156.957314444,-715.961422500,-144.712925556,-1430.034983333,-816.713791389,-1280.942481111,11397.235895556,-11508.985497778,11738.662122778,-26.414369444
2017-02-15 12:00:00,22869.366131389,11730.350975556,-5013.294418889,-4731.102651944,-18138.263479444,-2796.286784722,-4188.386744167,-115.399426944,-152.027576389,-894.226837222,-557.480671389,-325.186196944,-15892.126522222,-1156.884365556,-712.805729444,-141.998435000,-1429.550642778,-816.586314444,-1278.692117500,11389.191304167,-11480.174827222,11730.350975556,-26.414498056
2017-02-14 12:00:00,22831.423580556,11721.995055000,-4999.930727222,-4722.085794167,-18109.337786389,-2790.791121667,-4177.383863333,-115.287308333,-150.994003056,-893.808974444,-556.265552500,-324.388407500,-15863.884993611,-1156.811693333,-709.316533333,-139.427611944,-1429.051319167,-816.401473611,-1277.578374722,11381.073715000,-11450.349865556,11721.995055000,-26.234849167
2017-02-13 12:00:00,22793.804210278,11704.587888611,-4987.240744444,-4709.892169722,-18083.912040556,-2788.450025556,-4167.716895556,-115.068874167,-149.404532222,-892.320823611,-555.050442500,-324.370443889,-15839.024610278,-1156.737864444,-705.704586667,-136.972468889,-1428.585510556,-816.301919722,-1276.452860833,11363.896522222,-11429.907688056,11704.587888611,-26.237085833
2017-02-12 12:00:00,22726.145372222,11689.541294444,-4973.544558889,-4697.429518611,-18028.715853611,-2775.341696389,-4156.858517500,-114.957941111,-147.882782500,-890.187388889,-553.845317778,-323.557211111,-15785.546351111,-1146.940606111,-701.571425000,-129.183667500,-1427.538481111,-815.631021389,-1274.148416389,11349.070024444,-11377.075347778,11689.541294444,-26.227364722
2017-02-11 12:00:00,22680.365725556,11675.925142778,-4958.346541111,-4685.685024444,-17994.680701111,-2771.966297778,-4144.340413056,-114.813205000,-146.547484444,-886.637788333,-552.645438611,-322.709857222,-15752.214679167,-1146.503718333,-696.927280278,-125.921067222,-1427.038566667,-815.427455278,-1273.036874444,11335.655961111,-11344.709764444,11675.925142778,-26.229957778
2017-02-10 12:00:00,22635.526860000,11662.785652222,-4941.647162222,-4673.276560278,-17962.250299722,-2769.373080833,-4130.628386389,-114.623354167,-144.952645000,-884.214174722,-551.442776667,-322.163612778,-15720.398469722,-1146.432237778,-692.813915833,-122.436159722,-1426.557607500,-815.294222500,-1271.910622500,11322.724750000,-11312.802110000,11662.785652222,-26.230954167
2017-02-09 12:00:00,22594.390994444,11654.013946667,-4928.405401667,-4662.432401667,-17931.958592778,-2764.287811944,-4120.471024444,-114.272673889,-143.429416389,-883.886288889,-550.232286944,-321.695434444,-15690.961644722,-1144.271216667,-689.104470556,-120.061984444,-1426.057936667,-814.939011389,-1270.115946667,11314.188946389,-11280.202048056,11654.013946667,-26.073548611
2017-02-08 12:00:00,22541.964151111,11650.707785833,-4906.469415278,-4646.139008611,-17895.825142500,-2760.903613056,-4106.971992778,-112.315236389,-138.138863889,-883.302238611,-549.043322222,-320.940503611,-15655.454360833,-1144.198908889,-685.820043333,-116.584739444,-1425.595701667,-814.775080000,-1268.290724167,11311.156685000,-11230.807466111,11650.707785833,-26.010446667
2017-02-07 12:00:00,22467.406148333,11650.472610278,-4879.305668333,-4617.582425000,-17849.823723333,-2754.464884167,-4091.656775833,-108.256703611,-130.951202778,-882.972389444,-548.440986111,-320.016378056,-15610.329634444,-1140.377361111,-683.519651944,-114.415348889,-1425.021178056,-814.472910833,-1263.915746667,11311.151091944,-11156.255056389,11650.472610278,-26.015361111
