Date & Time,use [kW],gen [kW],HVAC [kW],Garage [kW],Main House + Pumps [kW],Water Heater [kW],Heat Pump [kW],Heaters - upstairs [kW],Heater - downstairs [kW],Range [kW],HRV [kW],Dishwasher [kW],Main House [kW],Washer and Dryer [kW],KitL MasLP BathLP LoftLP GueLP [kW],KitP LivLP StairsUpLP [kW],Well Pump [kW],Booster Pump [kW],Garage Water Heater [kW],Solar Net [kW],Main Grid [kW],Solar Pos [kW],Septic Pump [kW]
3/25/2017 19:43,2.218694005,0.385997859,-0.600740625,-0.588760405,-1.6299336,-0.143325324,-0.495801806,-0.023836609,-0.031124456,-0.078425972,-0.049977755,-0.030754745,-1.51544934,-0.313003935,-0.147884792,-0.118672778,-0.078446701,-0.036037558,-0.091680417,0.377620394,-1.841073611,0.385997859,0.000078102
3/24/2017 19:43,1.763164919,1.424598519,-0.606457813,-0.52279147,-1.240373449,-0.110498669,-0.476835,-0.040656262,-0.038369074,-0.02354316,-0.050597477,-0.000968843,-1.157650602,-0.141225741,-0.11358478,-0.07608537,-0.052926887,-0.029795961,-0.047249468,1.417142813,-0.346022106,1.424598519,-0.000041134
3/23/2017 19:43,1.443424514,0.820349387,-0.472477025,-0.4769311,-0.966493414,-0.060913484,-0.363318935,-0.026704456,-0.031793657,-0.01820912,-0.050659977,-0.00091103,-0.883733021,-0.002718426,-0.157993681,-0.08339441,-0.056525405,-0.026234988,-0.04616316,0.811976979,-0.631447535,0.820349387,0.000112743
3/22/2017 19:43,1.658674826,1.213044653,-0.409068843,-0.573841354,-1.084833472,-0.123704375,-0.334105278,-0.011148044,-0.013170336,-0.017871725,-0.050645185,-0.000819919,-0.985251597,-0.067409606,-0.162959896,-0.109433576,-0.068808333,-0.030773542,-0.044531713,1.203887986,-0.45478684,1.213044653,-0.000025255
3/21/2017 19:43,1.764573704,0.792702662,-0.398284398,-0.490669271,-1.273904433,-0.205260671,-0.336943287,-0.006104525,-0.004582928,-0.027274479,-0.050653657,-0.032291806,-1.169485104,-0.082588449,-0.206646979,-0.136455266,-0.068783993,-0.035635336,-0.074951111,0.784907234,-0.97966647,0.792702662,0.00002831
3/20/2017 19:43,1.880514074,0.429200139,-0.479930208,-0.542929016,-1.337585058,-0.125087581,-0.411117095,-0.007099815,-0.011298542,-0.035373449,-0.050414757,-0.027502813,-1.097887998,-0.002728993,-0.2197075,-0.121903773,-0.16247022,-0.07722684,-0.087927106,0.421888854,-1.45862522,0.429200139,0.000201771
3/19/2017 19:43,1.483274005,0.760399109,-0.435663044,-0.234935706,-1.248338299,-0.204941979,-0.360130845,-0.005123044,-0.020064884,-0.107180208,-0.050344271,-0.025015949,-1.164258009,-0.002769896,-0.164326563,-0.134005845,-0.051964201,-0.032116088,-0.046655833,0.75256081,-0.730713194,0.760399109,-0.008674826
3/18/2017 19:43,2.365758241,1.391843148,-0.582675428,-0.663966123,-1.701792118,-0.270396806,-0.503852975,-0.009905613,-0.018837743,-0.081070567,-0.050079097,-0.032245764,-1.584683194,-0.180095521,-0.207894884,-0.154813831,-0.077177604,-0.039931319,-0.043738981,1.38414059,-0.98161765,1.391843148,-0.000028449
3/17/2017 19:43,2.132661366,0.813622326,-0.490661238,-0.65588015,-1.476781215,-0.233169086,-0.430755602,-0.004453148,-0.00536419,-0.144588704,-0.050088299,-0.009113264,-1.354014826,-0.087046574,-0.186101736,-0.122924444,-0.086549016,-0.036217373,-0.08960647,0.805492002,-1.327169363,0.813622326,0.000181551
3/16/2017 19:43,2.046710972,0.305405683,-0.6025225,-0.610697535,-1.436013438,-0.164917454,-0.533334803,-0.006665741,-0.012331273,-0.111076042,-0.050190683,-0.02960103,-1.35164125,-0.076079294,-0.146054931,-0.132969572,-0.051616539,-0.032755648,-0.035897118,0.296850301,-1.749860671,0.305405683,0.00000265
