Date & Time,use [kW],gen [kW],HVAC [kW],Garage [kW],Main House + Pumps [kW],Water Heater [kW],Heat Pump [kW],Heaters - upstairs [kW],Heater - downstairs [kW],Range [kW],HRV [kW],Dishwasher [kW],Main House [kW],Washer and Dryer [kW],KitL MasLP BathLP LoftLP GueLP [kW],KitP LivLP StairsUpLP [kW],Well Pump [kW],Booster Pump [kW],Garage Water Heater [kW],Solar Net [kW],Main Grid [kW],Solar Pos [kW],Septic Pump [kW]
3/25/2017 0:00,1.76653735,1.424598519,-0.59365338,-0.543254086,-1.223283264,-0.09644331,-0.467159086,-0.039740613,-0.036134294,-0.023546586,-0.050619387,-0.000960127,-1.141614641,-0.149200023,-0.11014081,-0.081811169,-0.052877697,-0.028790926,-0.093588542,1.416752859,-0.349784491,1.424598519,-0.000070266
3/24/2017 0:00,1.541745428,0.820349387,-0.487080509,-0.508036887,-1.033708542,-0.075462951,-0.375791285,-0.02761919,-0.033112975,-0.013732234,-0.05055706,-0.000934606,-0.948607847,-0.068933472,-0.136731794,-0.079426725,-0.05652787,-0.028572824,-0.046166019,0.812254907,-0.729490521,0.820349387,0.000077998
3/23/2017 0:00,1.549318681,1.213044653,-0.408014815,-0.518728576,-1.030590104,-0.110129387,-0.329650069,-0.011157141,-0.0164275,-0.022337512,-0.050780104,-0.000725914,-0.953027882,-0.048468067,-0.167677442,-0.101318056,-0.048850741,-0.028711481,-0.044573912,1.203879803,-0.345438877,1.213044653,0.000011736
3/22/2017 0:00,1.722075208,0.792702662,-0.412469514,-0.511174977,-1.210900231,-0.201333669,-0.351529051,-0.006094282,-0.004236157,-0.027261123,-0.050610023,-0.032425787,-1.109786215,-0.021652222,-0.200196794,-0.133961088,-0.066800706,-0.03431331,-0.04122941,0.784620475,-0.937454734,0.792702662,0.000009306
3/21/2017 0:00,1.958059294,0.429200139,-0.464772106,-0.544012604,-1.41404669,-0.124196678,-0.396879549,-0.007110359,-0.0103636,-0.035343113,-0.0504186,-0.000637558,-1.151385451,-0.082601123,-0.229911782,-0.128204491,-0.184435926,-0.078225313,-0.093653125,0.421755961,-1.536303333,0.429200139,0.000285544
3/20/2017 0:00,1.512532269,0.760399109,-0.448602951,-0.30610662,-1.206425648,-0.143684583,-0.372846956,-0.005127188,-0.020253438,-0.107173299,-0.05037537,-0.027588264,-1.123188044,-0.002721042,-0.167549699,-0.133365359,-0.051936134,-0.03130147,-0.074597639,0.752578738,-0.75995353,0.760399109,-0.00864441
3/19/2017 0:00,2.268727766,1.391843148,-0.574908715,-0.59512463,-1.673603137,-0.284437593,-0.495147546,-0.009901076,-0.019763437,-0.08108581,-0.050096655,-0.031735752,-1.556606736,-0.167374734,-0.198681944,-0.141797037,-0.077174259,-0.039822141,-0.043745266,1.384222569,-0.884505197,1.391843148,-0.000055509
3/18/2017 0:00,2.157709132,0.813622326,-0.484163368,-0.578674502,-1.57903463,-0.299919687,-0.425393692,-0.004457593,-0.004209016,-0.144620255,-0.050103067,-0.033899537,-1.474869074,-0.099794734,-0.198314201,-0.137226331,-0.066374838,-0.037790718,-0.044698229,0.8051639,-1.352545231,0.813622326,0.000109259
3/17/2017 0:00,2.186155486,0.305405683,-0.61266022,-0.728105012,-1.458050475,-0.16524794,-0.542185613,-0.00665544,-0.013771134,-0.108322824,-0.050048032,-0.029611667,-1.352821748,-0.076095938,-0.148479132,-0.122975868,-0.071804618,-0.033424109,-0.080809097,0.297121319,-1.889034167,0.305405683,0.000083553
3/16/2017 0:00,2.023269595,1.224549873,-0.442251447,-0.566228102,-1.457041493,-0.189438461,-0.381836632,-0.005703137,-0.003972049,-0.026090405,-0.05073963,-0.031587164,-1.353386412,-0.29865713,-0.143808947,-0.140779201,-0.067329792,-0.036325289,-0.073862523,1.216653947,-0.806615648,1.224549873,-0.003799491
3/15/2017 0:00,1.788194826,0.434175822,-0.439851262,-0.475485023,-1.312709803,-0.199080046,-0.382254282,-0.004420278,-0.00250015,-0.090264965,-0.050676551,-0.034147789,-1.20652434,-0.031219294,-0.159396933,-0.145585544,-0.069953843,-0.03623162,-0.039476343,0.425165787,-1.363029039,0.434175822,-0.005391435
3/14/2017 0:00,1.472785498,0.508812581,-0.305821562,-0.389340521,-1.083444977,-0.127907338,-0.248093299,-0.004386493,-0.002473229,-0.038367755,-0.050868542,-0.000572326,-0.983018461,-0.048108275,-0.175683912,-0.204961933,-0.066072616,-0.0343539,-0.119436898,0.499920046,-0.972865451,0.508812581,-0.000207546
3/13/2017 0:00,2.179615938,0.178788426,-0.464805602,-0.76458081,-1.415035127,-0.187761285,-0.407485313,-0.004374502,-0.002493438,-0.037549329,-0.05045235,-0.060727894,-1.307799421,-0.159943912,-0.177685069,-0.133174931,-0.073119537,-0.034116169,-0.04680338,0.169940625,-2.009675312,0.178788426,0.000010694
3/11/2017 23:00,1.969690023,0.475949213,-0.428688125,-0.444312546,-1.525377477,-0.315949861,-0.371265752,-0.00435184,-0.002701991,-0.059174988,-0.050368542,-0.032404329,-1.402384583,-0.119258692,-0.18305434,-0.17284456,-0.080677396,-0.042315498,-0.089254931,0.467427963,-1.50226206,0.475949213,-0.000049549
3/10/2017 23:00,1.674290775,0.40055603,-0.549248009,-0.481623993,-1.192666782,-0.11976184,-0.46081412,-0.012707199,-0.025851678,-0.02009375,-0.049875012,-0.001006134,-1.103294028,-0.002880104,-0.176702882,-0.154034028,-0.060294907,-0.029077847,-0.045658727,0.391967882,-1.282322894,0.40055603,-0.007218646
3/9/2017 23:00,1.557032199,0.91220228,-0.451040891,-0.265749155,-1.291283044,-0.196106262,-0.365521146,-0.008636597,-0.026303958,-0.068733877,-0.05057919,-0.030788414,-1.211651667,-0.002876574,-0.149268356,-0.23360934,-0.048469688,-0.03116169,-0.043020289,0.903478484,-0.653553715,0.91220228,-0.000436354
3/8/2017 23:00,2.461773947,0.223871944,-0.5866825,-0.678541389,-1.783232558,-0.443018773,-0.41618566,-0.039148738,-0.081604387,-0.070791597,-0.049743715,-0.033153681,-1.662695926,-0.002867396,-0.141539167,-0.287878461,-0.075088287,-0.045448345,-0.078461192,0.214836921,-2.246937025,0.223871944,-0.000572326
3/7/2017 23:00,2.436077593,0.355375683,-0.766158646,-0.791934919,-1.644142674,-0.175467708,-0.604720868,-0.055928218,-0.055835382,-0.027649861,-0.049674178,-0.000761412,-1.52861816,-0.181563449,-0.129516285,-0.168651655,-0.082187338,-0.033337176,-0.041221921,0.346666748,-2.089410845,0.355375683,-0.000074907
3/6/2017 23:00,2.564839618,0.23053588,-0.743063553,-0.852408148,-1.71243147,-0.127334213,-0.634814491,-0.044075278,-0.014698333,-0.017500046,-0.049475451,-0.064822269,-1.425099977,-0.002863241,-0.152618866,-0.239695058,-0.193382488,-0.093949005,-0.102856238,0.222713623,-2.342125995,0.23053588,-0.004896528
3/5/2017 23:00,1.94633162,0.816166007,-0.769920556,-0.548828183,-1.397503438,-0.147707257,-0.606005671,-0.077678438,-0.036576296,-0.034204525,-0.04966015,-0.000690833,-1.313317558,-0.010048206,-0.131672685,-0.147520637,-0.054323322,-0.029862558,-0.042945116,0.807487789,-1.138843831,0.816166007,-0.002643403
3/4/2017 23:00,3.00207919,0.320001586,-0.641002106,-0.803511111,-2.198568079,-0.456570671,-0.545285,-0.02152985,-0.024934977,-0.14574397,-0.04925228,-0.032870613,-2.064399803,-0.386340058,-0.151755891,-0.16602206,-0.085167002,-0.049001273,-0.09122316,0.311889178,-2.690190012,0.320001586,0.000121181
3/3/2017 23:00,2.44679537,0.656118275,-0.654626192,-0.887203669,-1.559591701,-0.253094271,-0.533428866,-0.015865972,-0.055471296,-0.055446713,-0.049860058,-0.035502396,-1.460308843,-0.01044831,-0.199196655,-0.159438484,-0.062558565,-0.036724294,-0.037993287,0.647470694,-1.799324676,0.656118275,0.000105486
3/2/2017 23:00,1.89080213,0.230932292,-0.513035498,-0.539409063,-1.351393067,-0.184403345,-0.414760289,-0.027038345,-0.020923623,-0.155042361,-0.050313241,-0.029394352,-1.252009236,-0.00278191,-0.149032141,-0.126599965,-0.06529985,-0.034083981,-0.095770938,0.222508669,-1.668293461,0.230932292,-0.007305949
